  run    steps    running_reward     loss
-----  -------  ----------------  -------
    1     1207           -2945.0  3.80892
    2     1097           -1547.0  2.50275
    3     1054            -130.6  6.55029
    4     1064            1314.5  2.22768
    5     1038            2959.6  3.33629
    6      992            4311.7  4.71123
    7     1036            5074.4  3.49404
    8     1034            6236.5  4.60253
    9     1012            7023.2  3.13703
   10     1035            7438.5  3.29886
