  run    steps    running_reward     loss
-----  -------  ----------------  -------
    1     1289           -1625.0  2.77167
    2     1068             205.0  2.34434
    3     1109            1283.0  5.44399
    4     1019            2778.4  4.79673
    5     1707            4773.7  3.97499
    6     2670            9011.0  6.25534
    7     1008            9115.8  2.17052
    8     1008            9490.6  5.39437
    9     1029            9402.5  4.16172
   10     1030            9328.0  3.59506
   11      997            9409.4  2.86014
   12     1015            9318.5  2.64231
   13      979            9372.8  4.65531
   14     1038            9310.3  2.25037
   15     1038            9239.2  3.94584
   16     1007            9664.4  4.01015
   17      982           10453.5  2.24557
   18     1011           10650.8  4.70380
   19     1895           11565.6  3.85495
   20     1016           11461.5  3.38537
   21     2330           12442.2  3.49497
   22     1007           11935.8  2.90303
   23     1131           11237.6  3.04901
   24     1850           10731.1  3.37622
   25     1011           10547.9  2.12915
