  run    steps    running_reward     loss
-----  -------  ----------------  -------
    1     1364           -6185.0  3.72079
    2     1137           -4065.0  4.57719
    3     1057           -1754.0  3.79618
    4     1084             337.8  3.02825
    5     1139            1376.2  3.57334
    6     1124            2496.0  4.36048
    7     1073            3618.8  4.51866
    8     1028            4824.0  5.07162
    9     1008            5560.2  4.61970
   10     1000            6934.2  3.64298
   11     1886            6282.3  3.55793
   12     1007            7211.9  2.87130
   13     2254           10430.5  2.85073
   14     1010           10510.4  2.98755
   15     1011           10369.3  2.57352
   16     1044           10241.5  3.33899
   17     1027            9867.2  5.40576
   18     2031           10769.7  3.99059
   19     2280           10783.8  3.27385
   20     1060           10499.0  3.46311
   21      989           10444.2  2.48019
   22     1582            8933.4  3.87934
   23     1095            9027.7  3.63258
   24     1025            9320.2  2.85557
   25     1056            9646.1  2.55208
   26      984            9824.9  2.60730
   27     1035            9891.9  2.11137
   28     1010           10212.5  2.19244
   29     1022            9873.0  2.37988
   30      981           10308.4  3.17893
   31      985           10580.7  2.47178
   32     1369            9429.6  1.66072
   33      994            9869.7  2.59060
   34     1019            9684.7  2.30144
   35      992           10037.8  1.95818
   36     1037            9936.2  2.08035
   37     1013           10054.0  2.19343
   38     1001           10743.2  2.53601
   39     1024           10709.6  2.23866
   40     1020           10600.6  2.28865
   41     1040           10248.5  1.94142
   42      992           10222.8  3.18377
   43     1007           10281.2  2.37876
   44     1003           10308.0  2.15729
   45     1050           10028.4  2.28410
   46     1020           10357.7  2.78792
   47     1061            9962.2  2.04126
   48     1049            9886.7  1.95221
   49     1039            9828.4  2.27425
   50     2451           13044.7  2.44324
