  run    steps    running_reward     loss
-----  -------  ----------------  -------
    1     1281           -2165.0  5.54049
    2     1081            -996.0  2.82331
    3     1070             654.2  3.63901
    4     1039            2196.4  3.30163
    5     1017            3720.1  3.28931
    6     1027            5314.1  4.18053
    7      988            6161.3  4.92419
    8      990            7017.0  2.39377
    9     1006            7726.6  2.68040
   10     1016            8047.3  4.88560
   11     1723            9348.8  3.61800
   12     1043            9631.1  2.56214
   13      974            9848.8  2.42432
   14     1032            9914.1  2.02518
   15     1038            9840.3  2.01369
   16     2096            9901.2  3.48240
   17      978           10410.0  2.72287
   18     1005           10834.0  2.34721
   19     1159            9980.2  3.64624
   20     1000           10073.1  3.00161
   21     2193           12277.5  3.44931
   22     1042           11347.0  4.21427
   23     1037           11618.6  3.24169
   24     1031           11089.9  2.79744
