  run    steps    running_reward     loss
-----  -------  ----------------  -------
    1     1226           -6215.0  3.03301
    2     1133           -4386.0  3.72698
    3     1052           -1395.8  2.84720
    4     1042             865.4  3.81612
    5     1055            2416.3  6.43676
    6     1011            4030.0  3.22497
    7      967            5430.0  3.29397
    8     1071            6081.0  4.95021
    9      987            6959.8  3.04379
   10     1126            7543.9  4.33227
   11      995            8623.1  3.10843
   12     1026            8727.5  5.82457
   13     1642            9512.0  3.04369
   14     1053            9201.6  2.99120
   15     1013            9544.3  3.87356
   16     1039            9641.4  4.21459
   17     1052            9347.1  3.19135
   18     1221            8774.7  4.76340
   19     1011            9431.8  3.21935
   20     1022            9500.4  4.43134
   21      985            9959.3  2.89812
   22     1055            9845.5  2.49613
   23     2254           11484.4  4.59231
   24     1038           11091.5  3.43953
   25     1082           11418.2  3.23991
   26     2057           11615.6  2.73951
   27     1071           11208.4  3.31448
   28     1018           10953.8  1.51173
   29     1195           10197.0  2.14731
   30     1007           10674.6  2.68729
