  run    steps    running_reward     loss
-----  -------  ----------------  -------
    1     1310           -7285.0  2.89109
    2     1124           -5609.0  3.02583
    3     2054            -857.2  3.49457
    4     1008            1084.2  2.77461
    5     1016            2468.4  4.27338
    6     1978            6116.7  5.08414
    7      999            7093.4  2.77499
    8     1153            7145.7  3.83914
    9     1006            7503.6  4.49420
   10     1587            7915.8  2.34599
   11     2475           10976.7  3.57777
   12     1001           10810.3  3.85471
   13     1042           10560.3  2.70497
   14     1037           10047.2  2.77345
   15     1030           10053.8  3.33735
   16     1845            9355.0  3.37063
   17     1013            9348.0  2.95036
   18     1001            9817.4  3.16905
   19     1020           10556.9  3.27753
   20     1018           10505.5  3.44742
   21      986           10562.4  2.89275
   22     1030           10241.9  2.69383
   23     1035           10029.6  2.92772
   24     1041            9992.6  3.05448
   25     1011           10334.1  2.65142
   26     1149            9996.3  2.48419
   27     1002           10487.0  2.60418
   28      991           10457.6  2.53541
   29     1007           10524.1  3.04580
   30     1043           10582.3  2.77202
   31      991           10831.8  2.61186
   32     1037           10675.5  2.41459
   33     2291           12983.4  1.94016
   34     1145           12393.7  1.90682
   35     1042           11829.0  2.78864
   36     1034           11899.2  2.70773
   37      986           11884.3  2.72528
   38     1007           11470.5  2.51885
   39     1023           11434.4  3.00585
   40     1034           11001.5  1.91964
   41      997           10980.2  2.51887
   42     1038           10877.2  2.74328
   43     1056           10436.7  2.19860
   44     1042           10134.4  2.23357
   45     1015           10256.5  1.97457
   46     1983            9299.2  2.71420
   47     1021            9341.4  2.27948
   48     1021            9495.1  2.18293
   49     1073            9268.1  1.95002
   50     1008            9550.5  2.51638
