  run    steps    running_reward     loss
-----  -------  ----------------  -------
    1     1462           -9480.0  2.57867
    2     1080           -5935.0  3.92216
    3     1336           -4329.0  2.87955
    4     1047           -1241.2  2.94856
    5     2032            1882.0  3.65133
    6     1018            3349.6  3.52718
    7     1181            3851.7  3.51326
    8     1044            5300.4  2.95647
    9      988            6890.3  2.69882
   10     2109            8497.2  4.13018
   11     1190            9379.8  4.08369
   12     1098            9240.8  3.22287
   13      954            9680.7  2.96196
   14     1030            9942.5  3.77249
   15     1017            9848.0  3.28703
   16      999            9922.4  3.99858
   17      975           10352.9  3.60713
   18     1050           10052.3  3.15279
   19      981           10180.9  3.81082
   20     1003           10267.7  2.82698
   21     1216            9513.2  3.19255
   22     1021            9478.5  3.23011
   23     1047            9744.8  3.97181
   24      974           10017.9  2.76247
   25     1023           10359.3  2.88774
   26     1037           10591.4  3.50790
   27     1024            9960.1  3.15507
   28     1020            9711.1  3.15747
   29     1519            8180.9  2.44072
   30     1653            6633.7  2.23513
   31     1019            7219.0  2.90677
   32     1049            7962.2  3.31003
   33     1015            8727.7  2.62294
   34     1005            9076.2  3.09321
   35     1409            9717.0  2.83561
   36     1194            8787.6  2.70976
   37     1064            8834.1  2.12041
   38     1000            9103.2  2.69962
   39     1664            9551.6  1.69100
   40     1052            9259.3  2.81978
   41     1028            9320.4  2.14587
   42     1064           10196.3  3.65194
   43     1760            9538.1  1.62064
   44     1015            9628.5  2.37172
   45     1010            9855.8  2.12320
   46      986           10203.6  1.92525
   47     1122            9895.9  2.36712
   48     1039            9708.7  1.65339
   49     1016            9731.0  1.92602
   50      978            9871.8  2.02277
   51     1006           10146.4  2.18877
   52     1248            9859.1  3.03181
   53     1174            9243.3  2.43519
   54     1017            9236.6  2.25608
   55     1022            9489.3  2.64252
   56     1003            9829.5  2.25533
   57     1009           10079.6  2.08425
   58     1018           10372.7  1.76068
   59     2333           12764.1  2.08950
   60     1076           11792.3  2.74338
   61     1068           11047.8  2.21210
   62     1056           10614.3  2.12023
   63     1107           10325.4  2.59661
   64      992           10438.3  2.12240
   65     1026           10324.7  3.21079
   66     1093           10005.7  1.68210
   67     1160            9423.6  2.16402
   68     1909            9601.9  2.66841
   69     1012            9380.5  2.12809
   70     1011            9742.4  2.23544
   71     1057            9717.9  2.33420
   72     2301           11333.3  2.27425
   73      995           11240.7  2.75976
   74     1062           10815.5  2.30832
   75     2496           11011.4  1.85488
   76     1144           11163.1  3.98392
   77     1037           10938.5  2.65446
   78     1006           11075.8  3.01631
   79     2481           13101.6  2.52278
   80     1078           12363.3  2.27575
   81     1123           11374.7  2.57652
   82     1865           10481.7  2.06765
   83     1008           10764.4  2.52106
   84     1023           10785.5  2.70825
   85     1024           10706.4  2.48154
   86     1063           10078.1  2.32342
   87     1204            9101.5  1.69369
   88     1005            9973.2  2.21884
   89     1040           10124.6  2.23051
   90     1021           10033.6  1.92344
   91     1035            9996.9  2.36934
   92     1039            9689.5  2.43028
   93     1731            8937.6  2.25501
   94     2434           11263.1  2.02864
   95     1035           11407.5  2.33173
   96     1618           11088.0  1.92379
   97     1007           10793.4  2.42585
   98     1483           11472.7  1.63592
   99     1000           11301.2  3.05267
  100     1036           10806.9  2.49548
