  run    steps    running_reward     loss
-----  -------  ----------------  -------
    1     1330           -5770.0  3.67831
    2     1119           -3937.0  4.04028
    3     1156           -1427.6  3.23771
    4     1050             617.9  5.71832
    5     1783            2076.3  3.22531
    6     1028            3686.1  3.26433
    7     1018            5095.9  4.40446
    8     2224            7960.7  4.15188
    9      973            8910.5  4.31176
   10     1056            8903.4  4.40849
   11     1756            9648.8  3.80626
   12     1025            9622.0  4.44377
   13     1023            9947.6  5.34460
   14     1060            9515.1  3.02382
   15     1007            9839.1  2.71474
   16     1004           10017.3  3.03383
   17      997           10429.8  2.89285
   18     1002           10228.8  3.05336
   19     1027           10233.1  4.91517
   20     1049           10837.5  4.18329
   21     1067           10491.0  2.81173
   22     1019           10099.8  2.65134
   23     1014           10151.8  2.19261
   24     1024           10154.5  3.06868
   25     1269            9035.6  2.76804
   26     1008            9089.5  3.74803
   27      996            9461.6  2.40303
   28      980            9522.2  2.24640
   29     1921           11663.8  2.83915
   30     1678            9801.0  3.39504
   31     1003            9933.8  2.60957
   32     1061            9905.1  3.04640
   33     1099            9861.1  2.11888
   34     1032            9594.8  2.64237
   35     1034            9654.9  2.46271
   36     1029            9524.9  2.48399
   37     1106            9506.9  3.81812
   38     1009           10081.5  2.67669
   39     1522           10761.2  2.48713
   40     1037           10814.0  2.66690
   41     1899           11291.2  2.34220
   42     1034           11582.9  2.54564
   43      984           11482.4  2.84565
   44      990           11264.9  2.90678
   45     2101           12922.9  1.75595
   46      995           12705.3  2.41707
   47      992           12060.3  2.24932
   48     1002           11786.2  2.32520
   49     1000           11768.0  2.37957
   50      999           11517.4  1.97596
   51     2031           12798.9  1.99047
   52      996           12383.1  2.31196
   53     1036           11908.5  3.12212
   54      992           11807.8  1.99044
   55     1010           11668.2  3.34102
   56     1845           12918.6  3.95047
   57     1074           12155.9  2.21027
   58     1008           12199.7  2.59635
   59     2280           13458.8  2.92596
   60     1024           13158.0  2.32342
   61     1905           12146.4  1.90382
   62     1154           10910.1  2.07044
   63     1060           10675.1  3.32113
   64     1046           10181.1  2.36989
   65     1050            9737.9  2.41852
   66     1050            9494.3  2.46687
   67     1030            9576.4  2.21815
   68     1024            9655.1  2.47002
   69     1027            9698.1  2.38052
   70     2012            9016.5  2.25143
   71     1002            9055.2  2.71725
   72     1009            9560.2  2.19733
   73     2264           12832.1  2.07262
   74     1059           11846.7  2.10386
   75     1090           11104.4  1.92812
   76     1108           10373.5  1.93944
   77     2566           12022.8  2.70865
   78      958           11816.2  2.44126
   79     1025           11408.0  1.70247
   80      998           11289.4  2.31451
   81     1061           10743.5  2.53057
   82     1011           10701.8  2.15187
   83     1035           10464.4  2.24126
   84     1049           10433.6  2.21354
   85     1038           10443.8  2.13678
   86     1038            9887.1  2.50720
   87     1019           10193.7  2.46926
   88     1075           10195.9  2.69894
   89     1019           10236.7  1.85961
   90     1055           10480.4  3.02078
   91     1009           10380.3  1.95612
   92     2040           12118.3  1.96599
   93     1029           11284.6  2.09555
   94     1101           10524.7  1.77821
   95     1168            9863.7  2.00189
   96     1450            9316.0  2.06327
   97     1012            9739.8  2.53190
   98     1020            9813.8  2.50560
   99     1041            9785.1  2.97633
  100     1059            9206.1  2.00989
