  run    steps    running_reward     loss
-----  -------  ----------------  -------
    1     1303           -8460.0  5.28857
    2     1108           -5891.0  2.85476
    3     2305           -1478.8  3.89847
    4     1000             827.0  3.11443
    5     1041            2122.6  3.59551
    6      999            3941.1  4.79687
    7      979            5432.8  3.60279
    8     1457            5025.3  3.78831
    9     1540            5567.2  3.73920
   10     2375            9050.8  3.32384
   11     1291            8054.6  3.44339
   12     1048            8229.7  3.40577
   13     1011            8480.8  2.73192
   14     1047            8607.6  3.94585
   15     1266            7832.1  3.04115
   16     1021            8072.7  2.70297
   17     1168            7717.1  3.00780
   18     1045            8122.7  3.96043
   19      995            8858.2  3.30817
   20     1043            8703.5  2.75640
   21     1198            8211.8  3.38553
   22     1065            8138.5  3.28509
   23      997            9142.8  2.83164
   24     1024            9115.2  3.10974
   25     1026            9439.2  2.78325
   26     1387            7421.3  2.94346
   27     1038            7811.1  1.87953
   28      993            8923.9  2.17822
   29     1054            8978.1  2.27581
   30     1029            9258.5  3.17017
   31     1202            8775.8  2.05924
   32     1467            8961.6  2.78664
   33     1641            9231.3  1.87083
   34     1256            8549.0  2.16301
   35     1964            9843.2  1.94781
   36     1021           10145.6  2.40345
   37     1066            9754.5  1.96651
   38     1032            9580.6  2.78391
   39     1015            9637.5  3.03043
   40     1040            9588.0  2.39049
   41     1053            9534.4  1.90775
   42     1986            9286.5  1.76379
   43      998            9447.2  1.88423
   44     1025            9728.8  1.83169
   45     1048            9681.0  2.62619
   46     1008           10346.8  3.18458
   47     1007           10750.4  2.40947
   48     1011           10631.4  2.84652
   49     1600           11174.1  1.77171
   50     1020           10773.3  2.24235
   51     1048           10664.6  3.06926
   52     1014           10292.7  2.41822
   53     1090           10234.2  1.87807
   54      994           10718.3  1.92780
   55     2621           13325.7  1.79387
   56     2249           15006.5  1.91902
   57     2116           14327.2  2.17484
   58     1018           13507.8  2.63902
   59     1030           12441.2  2.74722
   60     1081           12398.0  2.45235
   61     1033           11712.4  2.27916
   62     1027           11323.9  2.16189
   63     1057           10720.1  2.21243
   64     2483           10238.1  2.02666
   65      999           10229.5  2.38720
   66     1932           10345.6  1.82245
   67     1013           10233.5  2.41096
   68     1052           10129.8  2.23163
   69     1051           10033.8  2.16090
   70     2098           10969.1  1.67115
   71     1044           10785.2  1.85258
   72      980           11040.2  2.79912
   73      989           10971.2  2.09491
   74     1036           10810.9  2.23043
   75     1024           10728.7  2.76001
   76     1293            9187.0  1.90473
   77      978            9684.6  2.46525
   78     1024            9898.7  2.62414
   79     1958           12332.9  2.33696
   80     1851           13673.4  2.83411
   81     1005           12970.7  3.20196
   82     1037           11975.5  2.92910
   83      985           11684.4  2.30469
   84     1005           11283.5  3.09123
   85     1101           10317.8  1.99221
   86     1040           10280.3  2.17312
   87     1030           10001.2  2.13808
   88     1023            9812.0  2.53930
   89     1063            9617.6  2.24614
   90      980            9981.1  2.37822
   91     1060           10136.9  2.15378
   92     1121           10316.5  2.96433
   93     1026            9998.2  2.36963
   94     1038            9922.5  2.25597
   95     1197           10731.0  3.68044
   96     1026           10682.8  2.75923
   97     1740           11293.3  1.66000
   98     1037           11218.6  2.68523
   99     1010           11000.9  2.68624
  100     1085           10496.7  2.84717
  101     1137            9691.4  2.26455
  102     1021            9702.1  2.50899
  103     1801            8544.7  2.84651
  104     1896            9704.7  2.44827
  105     1083            9309.8  2.24891
  106     1004            9336.8  1.86716
  107     1020            9416.5  2.74154
  108     1053            9207.2  2.05896
  109     1034            9172.7  2.64871
  110     1125            8915.2  2.21463
  111     1240            8308.2  3.32502
  112     1017            8802.5  2.19209
  113     1260            8894.0  2.03802
  114     1051            9062.2  1.88716
  115     1031            9471.8  1.95772
  116     1026            9329.4  1.85785
  117     1038            9589.5  1.72224
  118     1028            9644.6  2.00935
  119     1191            8714.7  2.34221
  120     1032            8630.8  2.53693
  121     1001            9490.6  2.84709
  122     1001            9774.5  2.33224
  123     1057            9496.6  1.91389
  124     1064            9667.3  2.52838
  125     1122            9218.8  2.08860
  126     1002            9170.1  3.19310
  127     1024            9345.0  2.15687
  128     2428           11190.0  1.91208
  129     1028           11025.0  2.21369
  130     1007           11283.0  2.91907
  131     1039           11140.4  2.26707
  132     1031           10907.3  3.07130
  133     1117           10286.9  2.73815
  134     1058           10276.5  1.90846
  135     1162            9570.2  2.67972
  136     1592           10807.2  2.52434
  137     1348            9310.7  2.92125
  138     1050            9457.6  1.98474
  139     2036           11883.1  3.23180
  140     1050           11432.5  2.69268
  141     1075           10733.0  2.25485
  142     1317           10256.4  2.95957
  143     1044           10132.1  1.98176
  144     1037            9889.7  2.88216
  145     1042            9797.7  1.66764
  146     1075            9496.2  1.66120
  147     1039            9555.0  2.91374
  148     1237            8947.0  1.96984
  149     1264            8665.6  1.88952
  150     2146           10960.5  2.22933
  151     1116           10393.4  2.07560
