  run    steps    running_reward     loss
-----  -------  ----------------  -------
    1     1363           -5285.0  4.11005
    2     1051           -2683.0  2.90193
    3     1025            -327.4  2.53852
    4     1066            1266.1  3.19295
    5      994            3227.9  2.95015
    6     1041            4389.3  5.01353
    7     1013            5775.4  3.28958
    8      996            7018.3  3.09633
    9     1017            7585.7  3.88106
   10     1563            7456.5  2.30210
   11     1056            7907.2  2.69699
   12     1063            7870.8  3.59639
   13      994            8668.6  2.73226
   14     1033            8843.9  3.67236
   15     1043            9278.1  4.07663
   16     1061            9503.5  3.30913
   17     1034            9392.8  3.50491
   18      967           10025.2  2.39402
   19     1019           10040.2  3.86896
   20      974           10523.2  2.84687
   21      997           11312.5  4.30801
   22      979           11370.0  3.53285
   23      970           11591.0  2.37248
   24     1704           11342.8  3.42537
   25      986           11540.2  3.26793
   26      993           11563.2  4.07656
   27     1053           11925.6  2.69941
   28      985           11934.4  3.01512
   29      993           12222.6  2.38182
   30      988           11988.0  3.22408
   31     2768           15348.4  3.18515
   32      999           14356.7  2.75981
   33      961           13953.4  2.37312
   34     1058           13315.7  2.82585
   35      963           13119.6  2.48240
   36      946           12800.7  2.61650
   37      981           12847.5  2.42086
   38      983           12546.0  2.11619
   39      992           12403.8  2.71495
   40     1054           12990.1  2.69347
   41     1047           12305.0  2.33661
   42      992           12419.0  1.95190
   43     1488           11738.2  2.85644
   44     1006           11857.6  2.47928
   45     2479           13240.1  2.03398
   46      954           12995.1  2.55014
   47     1003           12641.0  2.40181
   48      961           12935.8  2.64150
   49     1187           13014.7  3.49746
   50     1423           10893.7  2.55677
   51      959           11171.0  2.99930
   52      948           11574.8  2.17155
   53     1040           11333.8  2.39038
   54     1030           10930.1  2.74534
   55      985           11171.1  2.23247
   56      980           11300.8  2.26420
   57     1161           10892.7  2.64727
   58      979           11101.1  1.96019
   59     1051           10664.9  1.82845
   60     1039           10928.9  2.49672
   61      992           10921.1  2.41153
   62     1846            7754.9  1.83692
   63     1668            9345.9  1.87341
   64     1120            9171.7  2.62557
   65     1012            9632.4  1.70695
   66     1692            8752.9  2.67190
   67     1886            7966.3  1.90348
   68     1233            8233.1  1.84016
   69      987            8961.5  2.09360
   70     2087            9945.2  1.68173
   71     1019            9856.1  2.62611
   72      990           10291.9  2.52879
   73     1217            9863.5  2.52777
   74     1018           10256.8  2.44827
   75     1195            9905.5  1.95143
   76     1010           10288.4  2.80059
   77      967           10686.7  2.19552
   78     1023           10933.4  2.61299
   79     1046           11159.7  1.74360
   80     1041           10935.7  2.15817
   81     1192           10395.6  1.79005
   82      977           10887.5  2.06045
   83      968           11291.0  2.14592
   84     1029           10859.8  1.86903
   85      971           11422.8  2.45887
   86     1044           11223.3  2.32791
   87     1012           11493.6  2.11239
   88     1023           11780.9  2.54041
   89     1846            8477.7  1.69112
   90     1282            9748.2  2.97550
   91     1162            9471.5  2.51111
   92      989           10252.2  2.43907
   93     2836           11070.8  1.68178
   94     1229           10490.6  3.31560
   95      982           11075.5  2.70262
   96     1015           11487.4  2.53698
   97     1002           11605.9  2.46326
   98     1124           11501.7  3.04848
   99      983           11764.4  2.62323
  100     1014           11522.5  2.87758
  101     1055           11455.0  2.13350
  102     1194           10562.0  1.99860
  103     2337           12062.6  2.05493
  104     1480           11579.1  2.73752
  105     2262           12875.3  2.71646
  106     3030           13461.2  1.91736
  107     1191           12431.0  2.37434
  108     1065           12024.8  1.76323
  109     1045           11657.8  2.87952
  110     1014           11535.3  2.11073
  111      971           11813.2  2.74972
  112     1073           11293.6  2.29499
  113     1178           11022.9  2.28039
  114     1103           10721.3  2.20990
  115     1040           10541.0  2.12066
  116     1029           10831.8  2.42760
  117     1019           10884.5  2.28790
  118     1800           10541.6  2.59026
  119     1016           11111.3  2.15219
  120     1984           12637.0  1.99717
  121     2165            7796.6  1.48446
  122     2478           11960.3  1.82281
  123     1046           11968.2  2.13572
  124     1007           11906.6  2.53072
  125     2783           15814.3  1.96244
  126     1014           14652.4  2.38451
  127     1436           12666.9  2.01620
  128     1028           12283.5  2.01625
  129      966           12546.8  2.47965
  130     2837           13315.5  2.83266
  131     2839           14388.4  2.51831
  132     1000           13795.7  2.82465
  133     1002           13529.6  3.24368
  134     1022           13076.6  3.40071
  135     1012           12753.3  3.14082
  136     1039           12378.7  2.07898
  137     1000           12291.9  2.19098
  138     1148           11491.5  2.11582
  139      982           11466.2  2.74602
  140     1086           11123.0  2.05378
  141     1031           10852.4  1.87083
  142     1045           10786.9  2.53115
  143      988           10829.5  2.63664
  144     1142           10426.6  2.40693
  145     1076           10606.3  2.53505
  146     1034           10709.0  2.46308
  147     1065           10397.2  1.91674
  148     1131            9820.8  2.13604
  149     2282           10865.6  2.80961
  150     1906           11017.5  1.68966
  151     2106           10570.0  2.33119
  152      988           10780.0  2.86130
  153     2162            7918.0  1.62720
  154     1056            8278.4  1.85855
  155     1009            8717.7  2.12451
  156     2192           11547.2  1.93358
  157     2400           13353.7  2.37052
  158     1027           12814.0  2.69981
  159     2246           10355.2  2.18509
  160     1083           10341.2  1.91796
  161     2008           12520.9  2.18551
  162     1535           11277.7  1.90074
  163     1003           11187.2  2.95977
  164     1026           11333.8  2.36537
  165     1031           11355.0  2.24316
  166      979           11994.0  2.16175
  167     1564            9598.2  2.01348
  168     1000            9931.6  2.03008
  169     1003           10320.2  2.33392
  170     1062           10261.2  2.83530
  171     1106           10025.0  2.22097
  172     1045           10408.0  3.15676
  173     3946            5644.4  1.23937
  174     3492            5140.5  2.51295
  175     1031            6287.4  1.93358
  176     1009            7300.9  2.02664
  177      995            8173.7  2.32155
  178     1061            8202.0  1.89544
  179     1027            8769.6  2.17570
