  run    steps    running_reward     loss
-----  -------  ----------------  -------
    1     1326          -10585.0  5.24008
    2     1089           -7546.0  3.48301
    3     1073           -4882.8  3.57499
    4     1298           -3308.2  3.62068
    5     1089           -1043.6  3.78081
    6     2123            4166.1  2.36436
    7     1780            6618.9  4.59206
    8     1005            7179.1  5.08427
    9      998            7678.3  3.32303
   10      967            8393.6  3.30232
   11     1010            8958.9  3.25987
   12     1016            9137.1  3.05428
   13     1012            9240.7  4.70929
   14     2305           11521.6  3.52465
   15     2249           12337.2  3.48916
   16     2497           15847.8  2.68640
   17      984           15057.2  2.24602
   18      939           14794.8  3.10521
   19      967           14255.8  2.58526
   20     1004           13618.7  3.51254
   21      995           13190.9  3.28228
   22     1020           12649.7  2.83340
   23     2009           14357.8  3.25799
   24      987           13738.2  2.13930
   25      999           13541.6  2.34240
   26     1043           12965.3  2.30316
   27     1098           12059.2  3.06258
   28     1007           12048.4  2.98388
   29      947           12107.7  2.58855
   30     2001           12560.2  2.02115
   31      973           12446.1  2.72548
   32      984           12604.9  2.68204
   33     1033           12522.9  2.80154
   34      990           12438.3  2.20796
   35     1006           12236.7  2.31930
   36     1018           12133.3  2.48881
   37     1000           12070.7  2.61156
   38      994           11921.5  2.17628
   39      960           12023.2  2.00627
   40      985           11918.6  2.49347
   41     2449           10686.9  1.41653
   42      989           10722.5  1.95606
   43      975           11037.0  2.50410
   44     1067           10773.6  2.19342
   45     1618            8042.9  1.81519
   46     1025            8512.3  1.91797
   47      983            9229.8  2.99342
   48      991            9824.9  2.16341
   49      994           10382.9  2.26533
   50     1532            8547.3  1.46269
   51      995            8982.9  2.32460
   52     1038            9216.3  2.70751
   53     1791            6268.0  1.41953
   54      998            7307.4  2.66652
   55     1009            8198.9  2.12610
   56     2342           11051.1  2.18014
   57      973           11503.9  2.24143
   58      992           11861.1  2.48599
   59     1110           11325.9  1.84206
   60      987           11128.7  2.66735
   61      992           11293.0  2.26898
   62     1198           10949.4  2.33418
   63     2333           12699.5  1.94936
   64      989           12492.6  2.54956
   65     1012           12466.1  3.33425
   66     1281           10822.9  1.49393
   67     1082           10350.3  1.79469
   68     1006           10529.2  2.17805
   69     1758            7865.4  2.25058
   70      984            8847.3  2.39154
   71      976            9628.8  2.23041
   72      988           10025.1  1.77584
   73     1034           10186.1  1.88383
   74     1068           10443.9  2.12352
   75     1285            9560.1  2.07628
   76     1031           10325.1  2.56258
   77     2646           13288.1  2.22123
   78     1025           12603.4  1.69731
   79     1713           13149.8  2.48139
   80     1269           12015.8  1.52580
   81     1085           12080.6  2.19474
   82     1031           12615.5  3.42309
   83     1045           12505.4  2.26136
   84     1006           12498.3  1.76221
   85     1001           12326.7  1.99745
   86     1062           12116.3  2.70787
   87     1039           11772.1  1.93052
   88      957           12033.7  2.21746
   89     1027           11910.9  1.68094
   90      990           12048.7  2.37418
   91     1959            8331.0  2.18971
   92     1054            8901.8  2.40978
   93     1057            9569.4  2.23014
   94     1058            9844.5  2.14715
   95      982           10314.6  2.29106
   96     2000           11946.7  1.81557
   97     1084           11285.4  2.43621
   98     1544            9871.3  1.77753
   99     1004            9940.0  2.19369
  100     1008           10374.0  2.11801
  101     1027           10733.2  1.96256
  102     1168           10746.6  2.50425
  103     1103           10978.3  1.82451
  104     1648            9748.6  1.52960
  105     1630            7691.9  1.65774
  106     2620            6244.5  1.64569
  107     1895            7965.6  1.84265
  108     1632            7932.5  1.73110
  109     1039            8332.0  2.42800
  110      993            9547.6  2.58914
  111     1006           10008.1  2.79095
  112     1901            6458.5  1.34107
  113     1811            4721.8  2.32546
  114     1000            6386.4  2.35498
  115     1889            7235.1  1.53880
  116      996            7948.1  2.18084
  117     1044            8434.5  2.08931
  118     2306           11880.6  2.42428
  119      991           11938.5  1.84314
  120     1009           12288.8  2.90088
  121      981           12907.0  2.54482
  122     1031           13143.6  3.16372
  123     1035           12621.9  2.20033
  124     1048           12445.5  2.42519
  125     1043           11991.4  2.74304
  126     1076           12111.1  2.27541
  127     1165           11611.9  2.57468
  128     1081           11003.5  1.95191
  129     1902           10554.8  2.03715
  130     2880           13030.9  1.97594
  131     2575           15154.7  2.21865
  132     1734           13285.7  1.70971
  133     1013           13041.6  2.53945
  134     1026           12769.3  2.01673
  135     1002           12496.4  2.54618
  136     1039           11934.1  1.88173
  137      991           12122.3  2.33303
  138     1014           11776.8  1.89502
  139     1052           11340.5  2.82512
  140     1002           11479.4  2.55937
  141     1055           10873.5  2.27360
  142     1011           11104.8  2.10852
  143      978           11405.8  2.70691
  144     1040           11335.7  2.51987
  145      954           11593.5  3.21976
  146     1034           11226.8  2.19463
  147      992           11214.5  2.27924
  148     1093           10726.6  1.80134
  149     1003           11011.3  2.41674
  150     2567            4526.0  1.82421
  151     1054            5545.8  2.11659
  152     1009            6435.6  2.38689
  153     1029            8088.5  3.61221
  154      975            8913.8  2.85497
  155     1048            9387.0  2.08387
  156      998            9682.6  2.33336
  157     1028            9967.1  2.37307
  158      995           10403.7  2.38223
  159     1025           11400.0  3.16032
  160     1045           11129.0  2.25347
  161      981           11267.2  2.54243
  162     1013           11233.7  1.44884
  163     1025           11082.0  2.15522
  164      985           11235.6  2.76673
  165     1079           10770.5  2.52788
  166     1028           10899.4  2.39498
  167     1997           11714.5  2.82808
  168     1064           11223.6  1.76616
  169     1716            8591.9  1.59978
  170     2309           11109.5  2.36429
  171     1011           11577.6  3.66488
  172     1208           11044.1  2.19430
  173     1032           11141.3  1.83798
  174     1045           11103.0  2.75663
  175     1013           11077.4  3.09992
  176     1737           12750.9  2.29713
  177      993           12589.7  2.32209
  178     1093           12383.8  2.75016
  179     2218           11489.0  2.06895
  180      985           11814.2  2.24971
  181     2346            6454.4  1.69105
  182     1023            7616.5  2.84465
  183     1119            7949.2  2.09257
  184     1026            8375.4  2.48585
  185     1096            8783.3  2.91419
  186     1017            9441.6  1.64529
  187     1663            8550.3  2.07935
  188     2359           11320.2  2.15115
  189      979           11733.2  2.36962
  190     1058           11944.6  2.99382
  191     1132           11589.6  2.51645
  192     1003           11643.7  2.48345
  193     2462           12380.0  1.59880
  194     1094           12045.0  3.69589
  195     1226           11152.0  2.23421
  196     1003           11112.6  2.42620
  197      996           11040.1  2.01841
  198     1338            9716.1  1.95722
  199     1017           10003.8  1.96331
  200     2662           11384.1  2.49300
