  run    steps    running_reward     loss
-----  -------  ----------------  -------
    1     1377           -4835.0  3.62955
    2     1110           -2967.0  4.07765
    3     1038            -745.6  2.93256
    4     1067            1113.5  3.23766
    5      996            3304.8  1.97121
    6     1031            4303.9  4.44317
    7     1141            5148.1  3.28101
    8     2029            5166.5  6.22724
    9      998            6571.2  3.81400
   10     1009            7457.9  3.59720
   11     1099            7513.4  3.45646
   12      987            8513.7  3.46014
   13      993            8972.9  2.99288
   14     1001            9332.4  4.41050
   15     1589            9617.9  3.84970
   16     1040            9696.3  3.62984
   17     1013           10089.0  3.43891
   18      994           10840.2  4.82348
   19     2179           13831.2  2.87066
   20      958           13587.0  4.55489
   21      984           13244.6  2.69151
   22     1018           12681.6  3.36409
   23     1056           11803.3  2.64566
   24      994           12039.7  2.53755
   25      991           11794.7  2.18447
   26      985           12203.8  3.30791
   27      983           12284.0  3.11974
   28     1009           12084.2  2.99512
   29     1638           10439.4  2.15142
   30     1027           10629.5  2.39178
   31     1033           10736.6  2.96548
   32     1024           10819.3  2.19258
   33     1375           11655.4  2.40149
   34     2658           12288.3  2.47548
   35     1005           12464.7  2.82744
   36      969           12503.7  2.47052
   37     1016           11854.0  2.02563
   38     1032           11402.2  3.56198
   39     1006           11479.8  2.14962
   40     1068           10851.8  2.21629
   41     2695           13720.4  2.40921
   42     2009           13485.4  2.47910
   43     1053           12825.3  2.48112
   44     1956           11716.2  2.69226
   45      977           11846.0  2.80947
   46     1049           11525.8  2.33586
   47      979           11548.6  3.21018
   48     1181           11054.9  2.06377
   49     1002           10987.9  1.79489
   50     1002           11188.3  2.13282
   51      995           11360.7  2.55528
   52      976           11545.5  2.72769
   53     1000           11717.4  2.70157
   54      979           11649.9  1.97823
   55      968           11655.0  2.48531
   56      969           12283.0  2.48549
   57      983           12632.4  2.39584
   58     1861           14177.9  2.17369
   59      985           14074.3  2.64740
   60      982           13556.5  2.58503
   61     1981           13756.2  2.21301
   62      980           13599.9  1.99491
   63      978           13299.9  2.58519
   64      995           12847.0  2.82257
   65     2714           14287.6  2.58841
   66     1460           12723.1  2.23839
   67     1010           12511.4  2.09976
   68     1806           14101.2  2.15653
   69      999           14328.9  3.74348
   70     2327           15620.1  1.92453
   71     2482           17198.1  1.78021
   72     1047           16011.5  2.57701
   73      964           15047.2  2.11940
   74      982           14522.8  2.03141
   75      988           14126.2  2.65334
   76     1018           13541.0  3.12041
   77      990           13304.8  2.18524
   78      998           12923.8  2.97157
   79     1384           11932.1  1.94392
   80     2526           12991.6  2.29234
   81     1020           12362.3  2.06521
   82      988           12285.9  2.99483
   83      990           12118.7  1.98406
   84      999           11992.9  2.53906
   85     1020           11787.4  2.27906
   86      985           11836.9  2.54072
   87      982           12015.5  1.91739
   88     1018           12009.4  2.02424
   89      956           12228.5  2.32060
   90     1001           12280.8  2.49282
   91      979           12282.7  2.57624
   92     1015           12309.1  2.41972
   93      991           12203.3  1.86682
   94      958           12421.6  2.27724
   95     2359           14170.3  1.97323
   96     1005           13788.2  2.55594
   97      988           13616.6  3.51092
   98      964           13499.3  2.82738
   99     1902           13954.4  2.46742
  100     1035           13885.5  3.73509
  101     1223           13708.4  2.54634
  102      991           13308.7  2.32073
  103     1975            9000.0  1.31788
  104     2059            9061.0  2.31190
  105     2793           13792.8  1.46678
  106      996           13546.2  2.44570
  107      962           13531.0  2.41496
  108     1036           13671.8  3.43806
  109      984           13450.4  2.32123
  110     1005           12981.3  2.97047
  111     3268            9356.1  1.75361
  112     1024            9585.9  2.37845
  113      957           10388.7  2.94626
  114     1910           11331.0  2.02204
  115     1034           11289.8  2.27203
  116     1005           11522.8  2.81440
  117     2053           12052.2  2.24952
  118     1000           11947.8  2.21553
  119     1994           10200.2  2.94820
  120     2103           12185.2  3.19072
  121      985           12114.2  2.86154
  122      952           12232.3  1.92647
  123     1077           12403.9  2.72755
  124     1019           12114.1  2.87828
  125     1070           11816.3  1.94334
  126     1021           11776.0  3.01082
  127      989           11771.8  2.18019
  128      979           12194.4  3.02693
  129      996           12125.6  2.83580
  130      988           11839.4  2.44857
  131     1014           12058.6  2.66246
  132     1092           11528.8  2.02466
  133     1048           11291.1  2.05267
  134     1924           10009.9  2.35824
  135     1050            9891.9  2.14373
  136     1090            9768.5  2.18579
  137     1180            9214.8  2.77617
  138     1443            7766.8  2.31019
  139     1035            8296.5  3.03746
  140     1035            8665.2  2.50223
  141      954            9682.1  2.28577
  142     2795           10226.7  2.21284
  143      999           10433.4  2.71995
  144     1956            8675.7  1.45441
  145      978            9616.6  2.97890
  146     1027           10042.2  3.25525
  147     2784           11082.8  1.77621
  148     1082           10756.2  2.94956
  149     1105           10138.0  2.49067
  150     1955            9985.4  2.60984
  151     2295           13050.3  2.52019
  152     1059           12565.3  2.43314
  153     2542           15582.2  2.07941
  154     1000           14902.8  2.50893
  155     2451           13484.2  2.42745
  156     1641           12725.4  2.07795
  157     1161           11835.3  2.53325
  158     1006           11671.2  2.77604
  159     1030           11687.0  2.30262
  160     1027           11399.6  2.74991
  161     1723           11565.7  2.26283
  162     1038           11396.5  2.69909
  163     1055           11189.2  2.37540
  164     1061           11235.4  3.03326
  165     1814            8348.3  1.80411
  166      996            9094.6  2.74239
  167     1037            9306.7  2.28244
  168     1027            9665.4  2.63317
  169     2440            4014.3  1.92890
  170     1025            5440.4  1.59638
  171     1177            6725.4  2.89079
  172     1041            7507.3  2.43904
  173     1050            8152.8  2.31170
  174     1325            7290.3  1.50551
  175     1038            8205.2  2.70412
  176     1397            7295.2  1.71984
  177     1916            8876.1  1.54334
  178     1067            9321.9  2.71194
  179     1868           12806.5  2.62093
  180      996           12772.2  1.94652
  181     2561           15401.8  2.17270
  182     3500           12911.4  1.73435
  183     2004            8391.1  1.17734
  184     1003            9143.9  2.27936
  185     1037            9377.1  2.20956
  186     1008            9645.7  2.33696
  187     2177           12264.6  1.86898
  188     1976           11290.6  1.90090
  189     1097           11826.5  2.37136
  190     1006           11892.2  2.93008
  191      966           12362.8  2.67621
  192     1006           12233.2  2.52970
  193      966           12226.6  2.45415
  194      969           12306.3  2.69233
  195      954           12843.0  2.38287
